link_stub,rank,movie_title,lifetime_gross,max_theaters,opening_weekend,opening_theathers,release_date_x,distributor_x,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date_y,runtime,distributor_y,genres,rating
/title/tt0115433/?ref_=bo_ge_table_49,149,101 Dalmatians,"$136,189,294","2,901","$33,504,025","2,794","Nov 27, 1996","Walt Disney Studios Motion Pictures

",136189294,184500000,320689294,33504025,0,1996-11-27,103.0,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Crime, Family",
/title/tt0211181/?ref_=bo_ge_table_35,335,102 Dalmatians,"$66,957,026","2,704","$19,883,351","2,704","Nov 22, 2000","Walt Disney Studios Motion Pictures

",66957026,116654745,183611771,19883351,85000000,2000-11-22,100.0,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Family",
/title/tt0114746/?ref_=bo_ge_table_85,385,12 Monkeys,"$57,141,459","1,629","$184,776",3,"Dec 29, 1995","Universal Pictures

",57141459,111698000,168839459,184776,0,1995-12-29,129.0,Universal Pictures,"Mystery, Sci-Fi, Thriller",R
/title/tt2059171/?ref_=bo_ge_table_56,956,13 Sins,"$13,809",45,"$9,261",45,"Apr 18, 2014","RADiUS-TWC

",13809,813104,826913,9261,0,2014-04-11,93.0,RADiUS-TWC,"Horror, Thriller",R
/title/tt0087803/?ref_=bo_ge_table_8,808,1984,"$8,430,492",295,"$29,897",1,"Dec 14, 1984","The Samuel Goldwyn Company

",8430492,8430492,0,29897,0,1984-12-14,113.0,The Samuel Goldwyn Company,"Drama, Sci-Fi",
/title/tt1272878/?ref_=bo_ge_table_4,304,2 Guns,"$75,612,460","3,028","$27,059,130","3,025","Aug 2, 2013","Universal Pictures

",75612460,56327951,131940411,27059130,61000000,2013-08-01,109.0,Universal Pictures,"Action, Comedy, Crime, Thriller",R
/title/tt0086837/?ref_=bo_ge_table_95,495,2010: The Year We Make Contact,"$40,400,657","1,213","$7,393,361","1,126","Dec 7, 1984","Metro-Goldwyn-Mayer (MGM)

",40400657,40400657,0,7393361,0,1984-12-07,116.0,Metro-Goldwyn-Mayer (MGM),"Adventure, Mystery, Sci-Fi, Thriller",
/title/tt1232829/?ref_=bo_ge_table_46,146,21 Jump Street,"$138,447,667","3,148","$36,302,612","3,121","Mar 16, 2012","Sony Pictures Entertainment (SPE)

",138447667,63137661,201585328,36302612,42000000,2012-03-15,109.0,Sony Pictures Entertainment (SPE),"Action, Comedy, Crime",R
/title/tt2294449/?ref_=bo_ge_table_99,99,22 Jump Street,"$191,719,337","3,426","$57,071,445","3,306","Jun 13, 2014","Sony Pictures Entertainment (SPE)

",191719337,139614539,331333876,57071445,50000000,2014-06-05,112.0,Sony Pictures Entertainment (SPE),"Action, Comedy, Crime",R
/title/tt0389722/?ref_=bo_ge_table_1,501,30 Days of Night,"$39,569,000","2,859","$15,951,902","2,855","Oct 19, 2007","Sony Pictures Entertainment (SPE)

",39569000,35944170,75513170,15951902,30000000,2007-10-19,113.0,Sony Pictures Entertainment (SPE),"Action, Horror, Thriller",R
/title/tt0416449/?ref_=bo_ge_table_88,88,300,"$210,614,939","3,280","$70,885,301","3,103","Mar 9, 2007","Warner Bros.

",210629101,245453242,456082343,70885301,65000000,2007-03-07,117.0,Warner Bros.,"Action, Drama",R
/title/tt1253863/?ref_=bo_ge_table_7,207,300: Rise of an Empire,"$106,580,051","3,490","$45,038,460","3,470","Mar 7, 2014","Warner Bros.

",106580051,231000000,337580051,45038460,110000000,2014-03-05,102.0,Warner Bros.,"Action, Drama",R
/title/tt0099327/?ref_=bo_ge_table_2,902,A Cry in the Wild,"$1,494,969",-,-,-,"Jun 1, 1990","Concorde Pictures

",1494969,1494969,0,0,0,1990-06-01,82.0,Concorde Pictures,"Action, Adventure, Thriller",
/title/tt0160216/?ref_=bo_ge_table_91,891,A Dog of Flanders,"$2,165,637","1,267","$807,873","1,267","Aug 27, 1999","Warner Bros.

",2165637,2165637,0,807873,0,1999-08-27,100.0,Warner Bros.,"Drama, Family",PG
/title/tt1753383/?ref_=bo_ge_table_50,350,A Dog's Purpose,"$64,508,620","3,178","$18,222,810","3,059","Jan 27, 2017","Universal Pictures

",64508620,140527199,205035819,18222810,22000000,2017-01-19,100.0,Universal Pictures,"Adventure, Comedy, Drama, Family, Fantasy",PG
/title/tt0104257/?ref_=bo_ge_table_42,142,A Few Good Men,"$141,340,178","2,201","$15,517,468","1,925","Dec 11, 1992","Columbia Pictures

",141340178,101900000,243240178,15517468,41000000,1992-12-11,138.0,Columbia Pictures,"Drama, Thriller",R
/title/tt0113198/?ref_=bo_ge_table_29,529,A Goofy Movie,"$35,348,597","2,176","$6,129,557","2,159","Apr 7, 1995","Walt Disney Studios Motion Pictures

",35348597,35348597,0,6129557,0,1995-04-07,78.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Musical, Romance",
/title/tt0399146/?ref_=bo_ge_table_60,560,A History of Violence,"$31,504,633","1,348","$364,000",14,"Sep 23, 2005","New Line Cinema

",31504633,29880432,61385065,364000,32000000,2005-09-23,96.0,New Line Cinema,"Action, Crime, Drama, Thriller",R
/title/tt0113670/?ref_=bo_ge_table_87,787,A Little Princess,"$10,015,449","1,342","$28,612",3,"May 12, 1995","Warner Bros.

",10015449,10015449,0,28612,0,1995-05-12,97.0,Warner Bros.,"Drama, Family, Fantasy",
/title/tt3416532/?ref_=bo_ge_table_68,868,A Monster Calls,"$3,740,823","1,523","$30,909",4,"Dec 23, 2016","Focus Features

",3740823,43568490,47309313,30909,0,2016-10-07,108.0,Focus Features,"Adventure, Drama, Family, Fantasy, Thriller",PG-13
/title/tt1179056/?ref_=bo_ge_table_57,357,A Nightmare on Elm Street,"$63,075,011","3,332","$32,902,299","3,332","Apr 30, 2010","Warner Bros.

",63075011,52620171,115695182,32902299,35000000,2010-04-30,95.0,Warner Bros.,"Crime, Drama, Horror, Mystery",R
/title/tt0405296/?ref_=bo_ge_table_45,845,A Scanner Darkly,"$5,501,616",263,"$391,672",17,"Jul 7, 2006","Warner Independent Pictures (WIP)

",5501616,2158302,7659918,391672,0,2006-07-07,100.0,Warner Independent Pictures (WIP),"Animation, Crime, Drama, Mystery, Sci-Fi, Thriller",R
/title/tt0339291/?ref_=bo_ge_table_82,182,A Series of Unfortunate Events,"$118,634,549","3,623","$30,061,756","3,620","Dec 17, 2004","Paramount Pictures

",118634549,92833686,211468235,30061756,140000000,2004-12-16,108.0,Paramount Pictures,"Adventure, Comedy, Family, Fantasy",PG
/title/tt0118073/?ref_=bo_ge_table_48,648,A Very Brady Sequel,"$21,440,752","2,147","$7,052,045","2,147","Aug 23, 1996","Paramount Pictures

",21440752,21440752,0,7052045,12000000,1996-08-23,90.0,Paramount Pictures,Comedy,PG-13
/title/tt1826590/?ref_=bo_ge_table_36,436,About Last Night,"$48,637,684","2,253","$25,649,011","2,253","Feb 14, 2014","Screen Gems

",48637684,1808176,50445860,25649011,12500000,2014-02-14,100.0,Screen Gems,"Comedy, Romance",R
/title/tt2112096/?ref_=bo_ge_table_56,856,Absolutely Fabulous: The Movie,"$4,772,155",355,"$1,861,118",313,"Jul 22, 2016","Fox Searchlight Pictures

",4772155,34446954,39219109,1861118,0,2016-07-01,91.0,Fox Searchlight Pictures,"Comedy, Crime",R
/title/tt0106220/?ref_=bo_ge_table_35,435,Addams Family Values,"$48,919,043","2,577","$14,117,545","2,577","Nov 19, 1993","Paramount Pictures

",48919043,48919043,0,14117545,0,1993-11-19,94.0,Paramount Pictures,"Comedy, Fantasy",PG-13
/title/tt4126476/?ref_=bo_ge_table_66,766,After,"$12,138,565","2,138","$6,002,349","2,138","Apr 12, 2019","Aviron Pictures

",12138565,57379667,69518232,6002349,14000000,2019-03-12,105.0,Aviron Pictures,"Drama, Romance",PG-13
/title/tt7985692/?ref_=bo_ge_table_99,899,After the Wedding,"$1,574,258",428,"$50,264",5,"Aug 9, 2019","Sony Pictures Classics

",1574258,1215761,2790019,50264,0,2019-08-09,112.0,Sony Pictures Classics,Drama,PG-13
