international_total_gross,domestic_total_gross,rank,movie_title,max_theaters,opening_theathers,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating,link_stub
1119261396,543638043,6,The Lion King,4802.0,4725.0,1662899439,191770759,260000000,20190711,118.0,Walt Disney Studios Motion Pictures,Adventure Animation Drama Family Musical,PG,/title/tt6105098/?ref_=bo_ge_table_6
471115201,534987076,7,The Dark Knight,4366.0,4366.0,1006102277,158411483,185000000,20080716,152.0,Warner Bros.,Action Crime Drama Thriller,PG13,/title/tt0468569/?ref_=bo_ge_table_7
769095055,504481165,8,Beauty and the Beast,4210.0,4210.0,1273576220,174750616,160000000,20170316,129.0,Walt Disney Studios Motion Pictures,Adventure Family Fantasy Musical Romance,PG,/title/tt2771200/?ref_=bo_ge_table_8
943803672,459005868,9,Avengers: Age of Ultron,4276.0,4276.0,1402809540,191271109,250000000,20150422,141.0,Walt Disney Studios Motion Pictures,Action Adventure SciFi,PG13,/title/tt2395427/?ref_=bo_ge_table_9
633003513,448149584,10,The Dark Knight Rises,4404.0,4404.0,1081153097,160887295,250000000,20120719,164.0,Warner Bros.,Action Crime Drama,PG13,/title/tt1345836/?ref_=bo_ge_table_10
701633133,426829839,11,Captain Marvel,4310.0,4310.0,1128462972,153433423,160000000,20190306,123.0,Walt Disney Studios Motion Pictures,Action Adventure SciFi,PG13,/title/tt4154664/?ref_=bo_ge_table_11
440343699,424668047,12,The Hunger Games: Catching Fire,4163.0,4163.0,865011746,158074286,130000000,20131115,146.0,Lionsgate,Action Adventure Drama SciFi Thriller,PG13,/title/tt1951264/?ref_=bo_ge_table_12
410009114,412845172,13,Wonder Woman,4165.0,4165.0,822854286,103251471,149000000,20170530,141.0,Warner Bros.,Action Adventure Fantasy SciFi War,PG13,/title/tt0451279/?ref_=bo_ge_table_13
805797258,409013994,14,Iron Man 3,4253.0,4253.0,1214811252,174144585,200000000,20130424,130.0,Walt Disney Studios Motion Pictures,Action Adventure SciFi,PG13,/title/tt1300854/?ref_=bo_ge_table_14
745253147,408084349,15,Captain America: Civil War,4226.0,4226.0,1153337496,179139142,250000000,20160427,147.0,Walt Disney Studios Motion Pictures,Action Adventure SciFi,PG13,/title/tt3498820/?ref_=bo_ge_table_15
286384032,408010692,16,The Hunger Games,4137.0,4137.0,694394724,152535747,78000000,20120308,142.0,Lionsgate,Action Adventure SciFi Thriller,PG13,/title/tt1392170/?ref_=bo_ge_table_16
695213583,404214720,25,Jurassic Park,2566.0,2404.0,1099428303,47026828,63000000,19930611,127.0,Universal Pictures,Action Adventure SciFi Thriller,PG13,/title/tt0107290/?ref_=bo_ge_table_25
434191823,402111870,18,Transformers: Revenge of the Fallen,4293.0,4234.0,836303693,108966307,200000000,20090619,149.0,DreamWorks,Action Adventure SciFi,PG13,/title/tt1055369/?ref_=bo_ge_table_18
473942950,389813101,20,Guardians of the Galaxy Vol. 2,4347.0,4347.0,863756051,146510104,200000000,20170425,136.0,Walt Disney Studios Motion Pictures,Action Adventure Comedy SciFi,PG13,/title/tt3896198/?ref_=bo_ge_table_20
960912354,381447587,21,Harry Potter and the Deathly Hallows: Part 2,4375.0,4375.0,1342359942,169189427,0,20110713,130.0,Warner Bros.,Adventure Fantasy Mystery,PG13,/title/tt1201607/?ref_=bo_ge_table_21
419766082,363070709,24,Deadpool,3856.0,3558.0,782836791,132434639,58000000,20160209,108.0,Twentieth Century Fox,Action Adventure Comedy SciFi,R,/title/tt1431045/?ref_=bo_ge_table_24
771403536,352390543,26,Transformers: Dark of the Moon,4088.0,4088.0,1123794079,97852865,195000000,20110629,154.0,DreamWorks,Action Adventure SciFi,PG13,/title/tt1399103/?ref_=bo_ge_table_26
738968073,335477657,29,Joker,4374.0,4374.0,1074445730,96202337,55000000,20191002,122.0,Warner Bros.,Crime Drama Thriller,R,/title/tt7286456/?ref_=bo_ge_table_29
813424079,335104314,30,Aquaman,4184.0,4125.0,1148528393,67873522,0,20181207,143.0,Warner Bros.,Action Adventure Fantasy SciFi,PG13,/title/tt1477834/?ref_=bo_ge_table_30
691277106,334191110,32,Alice in Wonderland,3739.0,3728.0,1025468216,116101023,200000000,20100303,108.0,Walt Disney Studios Motion Pictures,Adventure Family Fantasy Mystery,PG,/title/tt1014759/?ref_=bo_ge_table_32
439631547,333718600,33,Guardians of the Galaxy,4088.0,4080.0,773350147,94320883,170000000,20140730,121.0,Walt Disney Studios Motion Pictures,Action Adventure Comedy SciFi,PG13,/title/tt2015381/?ref_=bo_ge_table_33
543277334,330360194,34,Batman v Superman: Dawn of Justice,4256.0,4242.0,873637528,166007347,250000000,20160323,152.0,Warner Bros.,Action Adventure SciFi,PG13,/title/tt2975590/?ref_=bo_ge_table_34
421746840,325100054,35,Suicide Squad,4255.0,4255.0,746846894,133682248,175000000,20160803,123.0,Warner Bros.,Action Adventure Fantasy SciFi,PG13,/title/tt1386697/?ref_=bo_ge_table_35
