link_stub,movie_title,rank_g_movies,lifetime_gross,rank_overall,year,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating
/title/tt1979376/?ref_=bo_cso_table_1,Toy Story 4,1,"$434,038,008",25,2019,"$434,038,008","$639,356,585","$1,073,394,593","$120,908,065","$200,000,000",2019-06-20,100.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",G
/title/tt0110357/?ref_=bo_cso_table_2,The Lion King,2,"$422,783,777",29,1994,"$422,783,777","$640,828,028","$1,063,611,805","$1,586,753","$45,000,000",1994-06-15,88.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Musical",G
/title/tt0435761/?ref_=bo_cso_table_3,Toy Story 3,3,"$415,004,880",31,2010,"$415,004,880","$651,965,931","$1,066,970,811","$110,307,189","$200,000,000",2010-06-16,103.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt0266543/?ref_=bo_cso_table_4,Finding Nemo,4,"$380,843,261",44,2003,"$380,843,261","$559,509,384","$940,352,645","$70,251,710","$94,000,000",2003-05-30,100.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family",
/title/tt0198781/?ref_=bo_cso_table_5,"Monsters, Inc.",5,"$290,642,256",101,2001,"$290,642,256","$289,065,482","$579,707,738","$62,577,067","$115,000,000",2001-11-02,92.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",G
/title/tt1453405/?ref_=bo_cso_table_6,Monsters University,6,"$268,492,764",112,2013,"$268,492,764","$475,066,881","$743,559,645","$82,429,469",,2013-06-19,104.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",G
/title/tt0120363/?ref_=bo_cso_table_7,Toy Story 2,7,"$245,852,179",135,1999,"$245,852,179","$251,523,202","$497,375,381","$300,163","$90,000,000",1999-11-19,92.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt0317219/?ref_=bo_cso_table_8,Cars,8,"$244,082,982",137,2006,"$244,082,982","$217,908,885","$461,991,867","$60,119,509","$120,000,000",2006-06-08,117.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Sport",
/title/tt0910970/?ref_=bo_cso_table_9,WALL·E,9,"$223,808,164",167,2008,"$223,808,164","$297,503,726","$521,311,890","$63,087,526","$180,000,000",2008-06-26,98.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Family, Sci-Fi",
/title/tt0114709/?ref_=bo_cso_table_10,Toy Story,10,"$223,225,679",168,1995,"$223,225,679","$171,210,907","$394,436,586","$29,140,617",,1995-11-22,81.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt0101414/?ref_=bo_cso_table_11,Beauty and the Beast,11,"$218,967,620",174,1991,"$218,967,620","$186,043,788","$424,967,620","$162,146","$25,000,000",1991-11-15,84.0,Walt Disney Studios Motion Pictures,"Animation, Family, Fantasy, Musical, Romance",
/title/tt0103639/?ref_=bo_cso_table_12,Aladdin,12,"$217,350,219",180,1992,"$217,350,219","$286,700,000","$504,050,219","$196,664","$28,000,000",1992-11-13,90.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",
/title/tt0382932/?ref_=bo_cso_table_13,Ratatouille,13,"$206,445,654",206,2007,"$206,445,654","$417,280,431","$623,726,085","$47,027,395","$150,000,000",2007-06-28,111.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",G
/title/tt0031381/?ref_=bo_cso_table_14,Gone with the Wind,14,"$200,882,193",217,1939,"$200,882,193","$201,500,000","$402,382,193",,,1939-12-15,238.0,Metro-Goldwyn-Mayer (MGM),"Drama, History, Romance, War",
/title/tt1216475/?ref_=bo_cso_table_15,Cars 2,15,"$191,452,396",233,2011,"$191,452,396","$368,400,000","$559,852,396","$66,135,507","$200,000,000",2011-06-22,106.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Sport",G
/title/tt0338348/?ref_=bo_cso_table_16,The Polar Express,16,"$188,969,804",240,2004,"$188,969,804","$126,279,964","$315,249,768","$23,323,463","$165,000,000",2004-11-10,100.0,Warner Bros.,"Adventure, Animation, Comedy, Family, Fantasy, Musical",
/title/tt0120855/?ref_=bo_cso_table_18,Tarzan,18,"$171,091,819",303,1999,"$171,091,819","$277,100,000","$448,191,819","$34,221,968","$130,000,000",1999-06-16,88.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family, Music",G
/title/tt0120623/?ref_=bo_cso_table_19,A Bug's Life,19,"$162,798,565",334,1998,"$162,798,565","$200,460,294","$363,258,859","$291,121","$120,000,000",1998-11-20,95.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt0059742/?ref_=bo_cso_table_20,The Sound of Music,20,"$159,287,539",348,1965,"$159,287,539","$140,790","$159,428,329",,"$8,200,000",1965-03-02,172.0,Twentieth Century Fox,"Biography, Drama, Family, Musical, Romance",
/title/tt0451079/?ref_=bo_cso_table_21,Horton Hears a Who!,21,"$154,529,439",368,2008,"$154,529,439","$144,043,360","$298,572,799","$45,012,998","$85,000,000",2008-03-12,86.0,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Fantasy, Music, Musical",
/title/tt3606752/?ref_=bo_cso_table_22,Cars 3,22,"$152,901,115",375,2017,"$152,901,115","$231,029,541","$383,930,656","$53,688,680",,2017-06-15,102.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Sport",G
/title/tt0055254/?ref_=bo_cso_table_23,One Hundred and One Dalmatians,23,"$144,880,014",407,1961,"$144,880,014","$71,000,000","$215,880,014",,,1961-01-25,79.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family",
/title/tt0061852/?ref_=bo_cso_table_24,The Jungle Book,24,"$141,843,612",422,1967,"$141,843,612","$64,000,000","$205,843,612",,,1967-10-18,78.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical",G
/title/tt0114148/?ref_=bo_cso_table_25,Pocahontas,25,"$141,579,773",425,1995,"$141,579,773","$204,500,000","$346,079,773","$2,689,714",,1995-06-16,81.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Drama, Family, Musical, Romance",G
/title/tt0304669/?ref_=bo_cso_table_26,The Santa Clause 2,26,"$139,236,327",439,2002,"$139,236,327","$33,618,738","$172,855,065","$29,008,696","$65,000,000",2002-11-01,104.0,Walt Disney Studios Motion Pictures,"Comedy, Family, Fantasy",
